시도명,시군구명,읍면동,리,건축물구조,건물용도,조사기준일,관리기관명,관리기관전화번호,데이터기준일
경상북도,청송군,청송읍,월막리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,월막리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,월막리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,월막리,일반철골구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,덕리,블록구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,금곡리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,금곡리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,청운리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,청운리,"블록,판넬",그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,청운리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,송생리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,송생리,일반목구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,송생리,일반목구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,송생리,일반목구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,송생리,벽돌구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,송생리,일반목구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,송생리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,교리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,거대리,일반목구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,월외리,블록구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,월외리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,월외리,조립식판넬,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,신점리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,신점리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,신점리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,신점리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,신점리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,신점리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,주산지리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,주산지리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,주산지리,벽돌구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,주산지리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,주산지리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,라리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,라리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,라리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,라리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,라리,경량철골 구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,감연리,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,감연리,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,감연리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,대전리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,대전리,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,대전리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,대전리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,대전리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,대전리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,대전리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,대전리,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,대전리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,대전리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,대전리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,홍원리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,하속리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,하속리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,하속리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,하속리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,하속리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,하속리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,하속리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,하속리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,하속리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,하속리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,하속리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,하속리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,하속리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,구천리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,구천리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,구천리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,화장리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,화장리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,화장리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,이현리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,이현리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,이현리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,이현리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,이현리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,중기리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,중기리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,중기리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,중기리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,중기리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,중기리,벽돌구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,중기리,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,중기리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,중기리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,양숙리,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,양숙리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,양숙리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,양숙리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,양숙리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,양숙리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,도평리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,도평리,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,도평리,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,도평리,벽돌구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,거성리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,거성리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,거성리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,거성리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,거성리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,거성리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,거성리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,거성리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,거성리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,눌인리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,눌인리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,눌인리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,눌인리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,눌인리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,눌인리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,눌인리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,눌인리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,월매리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,월매리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,월매리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,월매리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,월매리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,월매리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,월매리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,월매리,벽돌구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,월매리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,월매리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,개일리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,개일리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,개일리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,개일리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,개일리,벽돌구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,개일리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,개일리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,개일리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,개일리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,개일리,벽돌구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,개일리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,창양리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,창양리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,창양리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,창양리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,창양리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,창양리,경량철골 구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,창양리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,창양리,,단독,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,창양리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,창양리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,창양리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,인지리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,인지리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,현동면,인지리,경량철골 구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,명당리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,감은리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,감은리,벽돌구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,장전리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,장전리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,장전리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,장전리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,장전리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,문거리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,문거리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,문거리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,신성리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,신성리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,신성리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,신성리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,신성리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,복리 1,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,덕성리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,성재리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,안덕면,성재리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,덕천리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,덕천리,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,덕천리,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,덕천리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,덕천리,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,덕천리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,병부리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,송강리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,신기리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,신기리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,신기리,경량철골 구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,신기리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,신기리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,신기리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,신기리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,신기리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,파천면,신기리,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,이촌리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,후평리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,기곡리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,추현리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,광덕리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,광덕리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,각산리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,각산리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,월전리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,월전리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,월전리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,월전리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,시량리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,시량리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,시량리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,고현리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,신촌리,벽돌구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,신촌리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,신촌리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,괴정리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,괴정리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,괴정리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,괴정리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,괴정리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,진보면,괴정리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
