연번,행정동,구조,연면적,층_동,등급,농촌지역여부,데이터기준일자
1,송정1동,세멘벽돌조,64.47,1층/2동,2등급,도시지역,2025-05-27
2,송정1동,목조,242.68,1층/4동,1등급,도시지역,2025-05-27
3,송정1동,블럭조,133.55,1층/1동,2등급,도시지역,2025-05-27
4,송정1동,,,,3등급,도시지역,2025-05-27
5,송정1동,철근콘크리트조,61.2,1층/1동,2등급,도시지역,2025-05-27
6,송정1동,세멘부로크조,30.74,1층/1동,2등급,도시지역,2025-05-27
7,송정1동,세면부록조,39.33,1층/1동,2등급,도시지역,2025-05-27
8,송정1동,목조,42.97,1층/1동,3등급,도시지역,2025-05-27
9,송정1동,세면부록조,75.36,1층/1동,2등급,도시지역,2025-05-27
10,송정1동,세벽조,105.76,2층/1동,2등급,도시지역,2025-05-27
11,송정1동,연와조+블럭조,76.42,1층/3동,2등급,도시지역,2025-05-27
12,송정1동,세멘블럭조,60.3,1층/2동,2등급,도시지역,2025-05-27
13,송정1동,시멘트벽돌조,64.17,1층/1동,1등급,도시지역,2025-05-27
14,송정1동,목조,51.6,1층/2동,3등급,도시지역,2025-05-27
15,송정2동,세멘부록조,82.64,1층/2동,2등급,도시지역,2025-05-27
16,송정2동,적벽돌조,107.55,2층/2동,2등급,도시지역,2025-05-27
17,송정2동,목조,30.74,1층/1동,4등급,도시지역,2025-05-27
18,송정2동,,,,4등급,도시지역,2025-05-27
19,송정2동,목조+세면부록조,28.43+47.6,1층/1동+1층/2동,2등급,도시지역,2025-05-27
20,송정2동,목조,68.31,1층/2동,3등급,도시지역,2025-05-27
21,송정2동,목조,40.99,1층/1동,2등급,도시지역,2025-05-27
22,송정2동,목조,37.02,1층/1동,3등급,도시지역,2025-05-27
23,송정2동,목조,26.78,1층/1동,4등급,도시지역,2025-05-27
24,송정1동,연와조+세면부록조,56.76,1층/2동,2등급,도시지역,2025-05-27
25,송정1동,연와조,54.36,1층/1동,3등급,도시지역,2025-05-27
26,송정1동,시멘벽돌조,59.58,1층/2동,2등급,도시지역,2025-05-27
27,송정1동,조적조,67.97,1층/1동,1등급,도시지역,2025-05-27
28,송정1동,연와조+세면부록조,70.41,2층/2동,2등급,도시지역,2025-05-27
29,송정1동,연와조+세면벽돌조,56.19,1층/2동,2등급,도시지역,2025-05-27
30,송정1동,시멘벽돌조,87.73,1층/3동,2등급,도시지역,2025-05-27
31,송정1동,세벽돌조,42.27,1층/1동,1등급,도시지역,2025-05-27
32,송정1동,세벽돌조+세브럭조,69.465,1층/3동,1등급,도시지역,2025-05-27
33,송정1동,세멘벽돌조,271.06,2층/1동,2등급,도시지역,2025-05-27
34,송정1동,세멘부럭조,62.8,1층/2동,4등급,도시지역,2025-05-27
35,송정1동,부록조+세멘벽돌조,50.24,1층/2동,2등급,도시지역,2025-05-27
36,송정1동,목조,53.88,1층/2동,4등급,도시지역,2025-05-27
37,송정1동,목조,90.56,1층/3동,4등급,도시지역,2025-05-27
38,송정1동,연와조,78.67,1층/2동,2등급,도시지역,2025-05-27
39,송정2동,세부록조,48.26,1층/1동,2등급,도시지역,2025-05-27
40,송정2동,연와조,96.86,2층/2동,2등급,도시지역,2025-05-27
41,송정2동,,,,2등급,도시지역,2025-05-27
42,송정2동,목조+세부록조,66.78,1층/2동,2등급,도시지역,2025-05-27
43,송정2동,세멘벽돌조,130.58,2층/2동,1등급,도시지역,2025-05-27
44,송정2동,목조,133.55,1층/2동,2등급,도시지역,2025-05-27
45,송정2동,세멘벽돌조,130.52,2층/2동,2등급,도시지역,2025-05-27
46,송정2동,세면부록조,48.26,1층/1동,3등급,도시지역,2025-05-27
47,송정2동,적벽돌조,61.16,1층/2동,2등급,도시지역,2025-05-27
48,송정2동,연와조+세면부록조,87.6,1층/2동,1등급,도시지역,2025-05-27
49,송정2동,연와조,61.92,2층/2동,2등급,도시지역,2025-05-27
50,송정2동,목조,32.06,1층/1동,1등급,도시지역,2025-05-27
51,송정2동,목조,26.44,1층/1동,1등급,도시지역,2025-05-27
52,송정2동,세부조,78.67,1층/1동,2등급,도시지역,2025-05-27
53,송정2동,목조,41.32,1층/1동,2등급,도시지역,2025-05-27
54,송정2동,일반목구조,101.81,1층/1동,4등급,도시지역,2025-05-27
55,송정2동,목조,26.44,1층/1동,2등급,도시지역,2025-05-27
56,송정2동,목조,46.8,1층/1동,4등급,도시지역,2025-05-27
57,송정2동,세멘벽돌조,231.04,1층/3동,2등급,도시지역,2025-05-27
58,송정2동,연와조+세면부록조,54.87,1층/2동,3등급,도시지역,2025-05-27
59,송정2동,연와조+세면부록조,59.83,1층/2동,2등급,도시지역,2025-05-27
60,송정2동,연와조,56.86,1층/1동,2등급,도시지역,2025-05-27
61,송정2동,목조,15.54,1층/1동,1등급,도시지역,2025-05-27
62,송정2동,목조,64.79,1층/2동,1등급,도시지역,2025-05-27
63,송정2동,연와조+세면부록조,74.4,1층/3동,2등급,도시지역,2025-05-27
64,송정2동,목조+세면부록조,87.59,1층/2동,3등급,도시지역,2025-05-27
65,도산동,,,,4등급,도시지역,2025-05-27
66,도산동,,,,3등급,도시지역,2025-05-27
67,도산동,목조,53.19,1층/2동,3등급,도시지역,2025-05-27
68,도산동,목조,69.42,1층/2동,4등급,도시지역,2025-05-27
69,도산동,목조,79.32,1층/2동,2등급,도시지역,2025-05-27
70,도산동,목조,49.58,1층/1동,2등급,도시지역,2025-05-27
71,도산동,,,,3등급,도시지역,2025-05-27
72,도산동,목조,26.44,1층/1동,2등급,도시지역,2025-05-27
73,도산동,목조,42.97,1층/1동,2등급,도시지역,2025-05-27
74,도산동,목조,29.75,1층/1동,3등급,도시지역,2025-05-27
75,도산동,목조,23.14,1층/1동,3등급,도시지역,2025-05-27
76,도산동,목조,66.11,1층/1동,4등급,도시지역,2025-05-27
77,도산동,목조,33.05,1층/1동,2등급,도시지역,2025-05-27
78,도산동,목조,49.58,1층/2동,2등급,도시지역,2025-05-27
79,도산동,목조,65.78,1층/2동,3등급,도시지역,2025-05-27
80,도산동,목조,23.14,1층/1동,2등급,도시지역,2025-05-27
81,도산동,목조,42.97,1층/1동,3등급,도시지역,2025-05-27
82,도산동,,,,2등급,도시지역,2025-05-27
83,도산동,,,,3등급,도시지역,2025-05-27
84,도산동,목조+시멘브럭조,50.4,1층/2동,3등급,도시지역,2025-05-27
85,도산동,,,,3등급,도시지역,2025-05-27
86,도산동,,,,4등급,도시지역,2025-05-27
87,도산동,블록구조,37.35,1층/1동,2등급,도시지역,2025-05-27
88,도산동,시멘브럭조,72.4,1층/2동,2등급,도시지역,2025-05-27
89,도산동,연와조+세멘벽돌조+세부록조,107.76,1층/3동,2등급,도시지역,2025-05-27
90,도산동,세멘벽돌조,102.99,2층/2동,1등급,도시지역,2025-05-27
91,도산동,적벽돌조+시멘벽돌조+시멘블럭조,87.21,1층/4동,1등급,도시지역,2025-05-27
92,도산동,시멘트블럭조,13.88,1층/1동,2등급,도시지역,2025-05-27
93,도산동,부록조,33.72,1층/1동,1등급,도시지역,2025-05-27
94,도산동,적벽돌조,73.62,1층/3동,2등급,도시지역,2025-05-27
95,도산동,목조,50.57,1층/1동,2등급,도시지역,2025-05-27
96,도산동,적벽돌+시멘벽돌조,82.17,1층/2동,1등급,도시지역,2025-05-27
97,도산동,목조,62.14,1층/1동,3등급,도시지역,2025-05-27
98,도산동,부록조,29.75,1층/1동,1등급,도시지역,2025-05-27
99,도산동,세멘부록조,41.32,1층/1동,3등급,도시지역,2025-05-27
100,도산동,시멘브럭조,26.8,1층/1동,2등급,도시지역,2025-05-27
101,도산동,세면부록조,75.03,1층/2동,1등급,도시지역,2025-05-27
102,도산동,시멘벽돌조,70.47,1층/2동,1등급,도시지역,2025-05-27
103,도산동,세멘부록조,60.49,1층/1동,2등급,도시지역,2025-05-27
104,도산동,시멘벽돌조,76.45,1층/2동,1등급,도시지역,2025-05-27
105,신흥동,목조,45.28,1층/1동,3등급,도시지역,2025-05-27
106,신흥동,브럭조,141.99,1층/2동,4등급,도시지역,2025-05-27
107,신흥동,경량철골구조,49.2,1층/1동,1등급,도시지역,2025-05-27
108,신흥동,경량철골구조,158.42,1층/1동,1등급,도시지역,2025-05-27
109,신흥동,시멘트벽돌조,227.26,2층/3동,2등급,도시지역,2025-05-27
110,신흥동,경량철골구조,88.5,1층/1동,1등급,도시지역,2025-05-27
111,신흥동,세멘벽돌조,172.76,1층/3동,2등급,도시지역,2025-05-27
112,신흥동,세멘벽돌조,111.99,1층/2동,1등급,도시지역,2025-05-27
113,신흥동,목조,147.94,1층/4동,2등급,도시지역,2025-05-27
114,신흥동,적벽돌조,156.21,1층/3동,2등급,도시지역,2025-05-27
115,신흥동,브럭조+목조+목조,96.22+71.22+28.42,1층/2동+1층/2동+1층/1동,3등급,도시지역,2025-05-27
116,신흥동,벽돌구조,94.37,1층/3동,2등급,도시지역,2025-05-27
117,신흥동,목조,228.24,1층/5동,4등급,도시지역,2025-05-27
118,신흥동,목조+목조+세멘벽돌조,96.2+54.6+138.86,1층/2동+1층/2동+1층/3동,2등급,도시지역,2025-05-27
119,신흥동,조적조(세벽조),151.9,1층/4동,2등급,도시지역,2025-05-27
120,신흥동,세멘벽돌조,112.99,1층/2동,2등급,도시지역,2025-05-27
121,신흥동,세멘벽돌조,65.77,1층/2동,2등급,도시지역,2025-05-27
122,신흥동,조적조,167.94,1층/3동,3등급,도시지역,2025-05-27
123,신흥동,세멘벽돌조,60.89,1층/2동,3등급,도시지역,2025-05-27
124,신흥동,적벽돌조,97.26,1층/2동,1등급,도시지역,2025-05-27
125,신흥동,조립식조,82.65,1층/1동,2등급,도시지역,2025-05-27
126,신흥동,세멘벽돌조,126.26,1층/3동,2등급,도시지역,2025-05-27
127,신흥동,조적조,145.46,1층/3동,3등급,도시지역,2025-05-27
128,신흥동,목조+목조,35.04+66.62,1층/1동+1층/1동,3등급,도시지역,2025-05-27
129,신흥동,조적조,138.75,1층/2동,3등급,도시지역,2025-05-27
130,신흥동,목조,128.46,1층/4동,4등급,도시지역,2025-05-27
131,신흥동,목조+목조,36.17+141.99,1층/2동,3등급,도시지역,2025-05-27
132,신흥동,세멘벽돌조,104.18,1층/2동,2등급,도시지역,2025-05-27
133,신흥동,세멘벽돌조,98.79,1층/2동,2등급,도시지역,2025-05-27
134,신흥동,조적조,68.02,1층/2동,2등급,도시지역,2025-05-27
135,신흥동,시멘벽돌조,84.735,1층/1동,3등급,도시지역,2025-05-27
136,신흥동,목조,42.97,1층/1동,3등급,도시지역,2025-05-27
137,신흥동,목조,49.58,1층/1동,4등급,도시지역,2025-05-27
138,신흥동,시멘벽돌조,114.84,2층/2동,3등급,도시지역,2025-05-27
139,신흥동,목조+세부록조,68.42,1층/2동,4등급,도시지역,2025-05-27
140,신흥동,,,,2등급,도시지역,2025-05-27
141,신흥동,,,,1등급,도시지역,2025-05-27
142,어룡동,세멘브럭조,50,1층/1동,2등급,도시지역,2025-05-27
143,어룡동,목조,78.67,1층/2동,3등급,도시지역,2025-05-27
144,어룡동,목조,82.65,1층/2동,2등급,도시지역,2025-05-27
145,어룡동,목조,29.75,1층/1동,4등급,도시지역,2025-05-27
146,어룡동,목조,72.73,1층/1동,3등급,도시지역,2025-05-27
147,어룡동,목조,59.5,1층/1동,3등급,도시지역,2025-05-27
148,어룡동,시멘브럭조,64.05,1층/3동,3등급,도시지역,2025-05-27
149,어룡동,목조,42.96,1층/2동,3등급,도시지역,2025-05-27
150,어룡동,토담+목조+시멘브럭조,49.06,1층/3동,3등급,도시지역,2025-05-27
151,어룡동,목조+목조,29.75+56.19,1층/1동+1층/1동,2등급,도시지역,2025-05-27
152,어룡동,목조,23.14,1층/1동,3등급,도시지역,2025-05-27
153,어룡동,목조,142.02,1층/4동,3등급,도시지역,2025-05-27
154,어룡동,목조,26.44,1층/1동,4등급,도시지역,2025-05-27
155,어룡동,시멘트벽돌조,81.56,1층/1동,2등급,도시지역,2025-05-27
156,어룡동,목조+세면부록조,94.2,1층/3동,3등급,도시지역,2025-05-27
157,어룡동,목조,19.83,1층/1동,3등급,도시지역,2025-05-27
158,어룡동,목조,26.44,1층/1동,3등급,도시지역,2025-05-27
159,어룡동,기타조적구조,103.01,1층/2동,2등급,도시지역,2025-05-27
160,어룡동,목조+세면부록조,77.99,1층/3동,3등급,도시지역,2025-05-27
161,어룡동,목조+세면부록조,80.91,1층/2동,3등급,도시지역,2025-05-27
162,어룡동,목조,99.16,1층/4동,3등급,도시지역,2025-05-27
163,어룡동,시멘벽돌조+시멘부록조,28.89,1층/2동,3등급,도시지역,2025-05-27
164,어룡동,시멘벽돌조+시멘부록조,91.71,1층/3동,2등급,도시지역,2025-05-27
165,어룡동,시멘브럭조,21.3,1층/1동,4등급,도시지역,2025-05-27
166,어룡동,시멘브럭조,69.21,1층/2동,3등급,도시지역,2025-05-27
167,어룡동,조립식조,84,1층/1동,2등급,도시지역,2025-05-27
168,어룡동,목조,56.19,1층/1동,3등급,도시지역,2025-05-27
169,어룡동,세멘벽돌조+시멘블럭조,87.76,1층/3동,2등급,도시지역,2025-05-27
170,어룡동,목조,75.69,1층/2동,4등급,도시지역,2025-05-27
171,어룡동,세면부럭조,114.9,1층/3동,3등급,도시지역,2025-05-27
172,어룡동,시멘브럭조,74.12,1층/2동,3등급,도시지역,2025-05-27
173,어룡동,세멘벽돌조,70.58,1층/1동,3등급,도시지역,2025-05-27
174,어룡동,목조,23.14,1층/1동,3등급,도시지역,2025-05-27
175,어룡동,목조+세부조,125.93,1층/4동,3등급,도시지역,2025-05-27
176,어룡동,세벽조+세부조,72.4,1층/2동,3등급,도시지역,2025-05-27
177,어룡동,세멘벽돌조,97.66,2층/2동,2등급,도시지역,2025-05-27
178,어룡동,세멘벽돌조,98.19,2층/2동,2등급,도시지역,2025-05-27
179,어룡동,세멘벽돌조,74.48,2층/2동,2등급,도시지역,2025-05-27
180,어룡동,연와조+세부조,81.99,1층/2동,2등급,도시지역,2025-05-27
181,어룡동,목조+목조+부럭조,42.97+34.72,1층/1동+1층/2동,3등급,도시지역,2025-05-27
182,어룡동,목조,29.75,1층/1동,4등급,도시지역,2025-05-27
183,어룡동,목조,23.1,1층/1동,3등급,도시지역,2025-05-27
184,어룡동,,,,2등급,도시지역,2025-05-27
185,어룡동,세멘벽돌조,124.68,2층/2동,2등급,도시지역,2025-05-27
186,어룡동,적벽돌조,58.95,1층/2동,2등급,도시지역,2025-05-27
187,어룡동,세멘벽돌조,89.27,2층/2동,2등급,도시지역,2025-05-27
188,어룡동,세멘벽돌조,107.39,2층/2동,2등급,도시지역,2025-05-27
189,어룡동,세멘벽돌조,84.59,2층/2동,2등급,도시지역,2025-05-27
190,어룡동,목조+시멘브럭조,68.65,1층/3동,3등급,도시지역,2025-05-27
191,어룡동,목조+목조+목조+목조+목조+목조+목조+목조+목조,26.45+16.53+24.46+18.51+26.45+25.78+41.32+25.45+30.08,1층/1동+1층/1동+1층/1동+1층/1동+1층/1동+1층/1동+1층/1동+1층/1동+1층/1동,3등급,도시지역,2025-05-27
192,어룡동,적벽돌조,117.48,2층/1동,2등급,도시지역,2025-05-27
193,어룡동,목조,126.27,1층/3동,2등급,도시지역,2025-05-27
194,어룡동,시멘트블럭조,90.3,1층/4동,3등급,도시지역,2025-05-27
195,어룡동,세멘벽돌조+세멘블럭조,57.82+130.25,1층/5동+2층/2동,3등급,도시지역,2025-05-27
196,어룡동,시멘브럭조,87.75,1층/3동,2등급,도시지역,2025-05-27
197,어룡동,시멘브럭조,85.01,1층/1동,2등급,도시지역,2025-05-27
198,어룡동,시멘브럭조,25.02,1층/2동,2등급,도시지역,2025-05-27
199,우산동,시멘브럭조,134.48,1층/4동,2등급,도시지역,2025-05-27
200,우산동,조립식조,40.32,1층/1동,1등급,도시지역,2025-05-27
201,우산동,목조,76.03,1층/2동,4등급,도시지역,2025-05-27
202,우산동,목조,74.03,1층/3동,3등급,도시지역,2025-05-27
203,우산동,목조+시멘벽돌조,91.56,1층/2동,3등급,도시지역,2025-05-27
204,우산동,목조+시멘트브럭조,76.32,1층/2동,2등급,도시지역,2025-05-27
205,우산동,시멘벽돌조+시멘브럭조,96.63,1층/4동,2등급,도시지역,2025-05-27
206,우산동,목조,85.95,1층/2동,3등급,도시지역,2025-05-27
207,우산동,세멘블록조,48.59,1층/1동,3등급,도시지역,2025-05-27
208,우산동,목조,26.44,1층/1동,4등급,도시지역,2025-05-27
209,우산동,세멘벽돌조,75.33,1층/2동,1등급,도시지역,2025-05-27
210,우산동,시멘벽돌조+세멘블록조,52.98,1층/2동,1등급,도시지역,2025-05-27
211,우산동,조적조,140.77,2층/3동,1등급,도시지역,2025-05-27
212,우산동,목조,42.97,1층/1동,4등급,도시지역,2025-05-27
213,우산동,목조,26.44,1층/1동,3등급,도시지역,2025-05-27
214,우산동,목조+목조,19.83+26.44,1층/1동+1층/1동,2등급,도시지역,2025-05-27
215,우산동,목조,46.28,1층/1동,3등급,도시지역,2025-05-27
216,우산동,목조,36.36,1층/1동,3등급,도시지역,2025-05-27
217,우산동,목조,33.05,1층/1동,3등급,도시지역,2025-05-27
218,우산동,목조,49.58,1층/1동,2등급,도시지역,2025-05-27
219,우산동,목조,36.36,1층/1동,4등급,도시지역,2025-05-27
220,도산동,연아조,64.1,2층/2동,1등급,도시지역,2025-05-27
221,도산동,시멘부록조,36.6,1층/1동,2등급,도시지역,2025-05-27
222,어룡동,브럭조+목조,544.33,1층/4동,3등급,도시지역,2025-05-27
223,어룡동,목조,110.02,1층/3동,4등급,도시지역,2025-05-27
224,어룡동,목조,152.03,1층/2동,1등급,도시지역,2025-05-27
225,어룡동,세멘벽돌조,124.72,1층/3동,1등급,도시지역,2025-05-27
226,비아동,목조,48.59,1층/1동,4등급,도시지역,2025-05-27
227,비아동,시멘벽돌조+블럭조,76.94,1층/2동,3등급,도시지역,2025-05-27
228,비아동,시멘트블럭조,79.32,1층/2동,3등급,도시지역,2025-05-27
229,비아동,토담조,30.08,1층/1동,2등급,도시지역,2025-05-27
230,비아동,토담조,25.45,1층/1동,3등급,도시지역,2025-05-27
231,비아동,목재조+시멘브럭조,86.31,1층/2동,4등급,도시지역,2025-05-27
232,비아동,토담조+세멘브럭조,81,1층/2동,3등급,도시지역,2025-05-27
233,비아동,목조+벽돌조,120.33,1층/3동,3등급,도시지역,2025-05-27
234,비아동,시멘트벽돌조,53.46,1층/1동,1등급,도시지역,2025-05-27
235,비아동,토담조,35.7,1층/1동,4등급,도시지역,2025-05-27
236,비아동,목조,62.48,1층/2동,3등급,도시지역,2025-05-27
237,비아동,,,,2등급,도시지역,2025-05-27
238,비아동,조적조,68.66,1층/2동,2등급,도시지역,2025-05-27
239,비아동,,,,2등급,도시지역,2025-05-27
240,비아동,시멘트벽돌조,78,1층/2동,2등급,도시지역,2025-05-27
241,비아동,블록구조+철근콘크리트조,15.21+65.8,1층/1동+1층/1동,4등급,도시지역,2025-05-27
242,비아동,목조,52.89,1층/1동,2등급,도시지역,2025-05-27
243,비아동,목조+부록크조,71.28,1층/2동,2등급,도시지역,2025-05-27
244,비아동,목조+토담조,82.17,1층/2동,3등급,도시지역,2025-05-27
245,비아동,토담조,39.67,1층/1동,3등급,도시지역,2025-05-27
246,비아동,,,,3등급,도시지역,2025-05-27
247,비아동,목조+토담조,76.03,1층/2동,2등급,도시지역,2025-05-27
248,첨단2동,적벽돌조+세멘브럭조+목조,62.76+42.31,1층/3동+1층/1동,2등급,도시지역,2025-05-27
249,첨단2동,부륵크조,53.22,1층/1동,1등급,도시지역,2025-05-27
250,첨단2동,세멘벽돌조,53.22,1층/1동,2등급,도시지역,2025-05-27
251,첨단2동,토담조,26.78,1층/1동,4등급,도시지역,2025-05-27
252,첨단2동,목조+토담조+적별돌조+세멘브럭조,110.74+62.76,1층/2동+1층/3동,4등급,도시지역,2025-05-27
253,첨단2동,목조+토담조,80.99,1층/2동,4등급,도시지역,2025-05-27
254,신창동,목조+부록크조,63.77,1층/3동,2등급,도시지역,2025-05-27
255,신창동,,,,3등급,도시지역,2025-05-27
256,신창동,시멘트벽돌조,91.6,1층/2동,3등급,도시지역,2025-05-27
257,신창동,목조,80.33,1층/2동,4등급,도시지역,2025-05-27
258,신창동,목조+연와조,69.42,1층/2동,4등급,도시지역,2025-05-27
259,신창동,시멘벽돌조,96.7,2층/2동,2등급,도시지역,2025-05-27
260,신가동,시멘트벽돌조,90.39,1층/1동,2등급,도시지역,2025-05-27
261,운남동,시멘벽돌조,48.72,1층/1동,2등급,도시지역,2025-05-27
262,하남동,목조+브록조,92.98,1층/2동,2등급,도시지역,2025-05-27
263,하남동,브록조,42.98,1층/2동,3등급,도시지역,2025-05-27
264,하남동,목조+브록조,99.17,1층/2동,3등급,도시지역,2025-05-27
265,하남동,목조,125.62,1층/3동,2등급,도시지역,2025-05-27
266,하남동,목조,110.72,1층/3동,4등급,도시지역,2025-05-27
267,하남동,브럭조,59.51,1층/2동,2등급,도시지역,2025-05-27
268,하남동,토담조,72.72,1층/2동,3등급,도시지역,2025-05-27
269,하남동,조립식판넬조,60,1층/1동,2등급,도시지역,2025-05-27
270,하남동,목조+브륵조,138.84,1층/3동,3등급,도시지역,2025-05-27
271,수완동,철근콘크리트구조,182.31,2층/2동,1등급,도시지역,2025-05-27
272,하남동,세멘브록조,53.31,1층/1동,2등급,도시지역,2025-05-27
273,하남동,조립식조+세벽조,198.47,1층/4동,3등급,도시지역,2025-05-27
274,하남동,세멘벽돌조,130.33,1층/2동,4등급,도시지역,2025-05-27
275,하남동,세멘브록조,58.62,1층/1동,2등급,도시지역,2025-05-27
276,하남동,목조,164.07,1층/3동,1등급,도시지역,2025-05-27
277,하남동,,,,2등급,도시지역,2025-05-27
278,임곡동,세멘벽돌조,84.69,1층/1동,3등급,농촌지역,2025-05-27
279,임곡동,세멘벽돌조,58.64,1층/2동,3등급,농촌지역,2025-05-27
280,임곡동,,,,4등급,농촌지역,2025-05-27
281,임곡동,목조,117.3,1층/3동,3등급,농촌지역,2025-05-27
282,임곡동,목조,129.9,1층/2동,3등급,농촌지역,2025-05-27
283,임곡동,목조,176.1,1층/3동,2등급,농촌지역,2025-05-27
284,임곡동,브럭조+브럭조,259.34+52.3,1층/4동,3등급,농촌지역,2025-05-27
285,임곡동,벽돌조,180.23,1층/4동,2등급,농촌지역,2025-05-27
286,임곡동,목조,133.8,1층/4동,3등급,농촌지역,2025-05-27
287,임곡동,목조,156.8,1층/2동,3등급,농촌지역,2025-05-27
288,임곡동,목조,74.6,1층/1동,2등급,농촌지역,2025-05-27
289,임곡동,목조,194.14,1층/3동,4등급,농촌지역,2025-05-27
290,임곡동,목조,70.38,1층/3동,3등급,농촌지역,2025-05-27
